ID,Name,Description,Size,Era,BasePrice,BaseProductivity,PriceScale,ProductivityScale,RequiredDayNumber
71,Lighthouse,A guiding beacon,Large,Medieval,20618247242040,1810106753760,1.12,1.08,5
72,Library,A repository of knowledge,Large,Medieval,30927370863060,2715160130640,1.12,1.08,5
73,University,A center of learning,Large,Medieval,46391056294590,4072740195960,1.12,1.08,5
74,Observatory,Studying the heavens,Large,Medieval,69586584441890,6109110293940,1.12,1.08,5
75,Steam Engine,The birth of industry,Medium,Industrial,104379876662830,9163665440910,1.12,1.08,5
76,Factory,Mass production facility,Large,Industrial,156569814994250,13745498161360,1.12,1.08,6
77,Railway Station,Hub of transportation,Large,Industrial,234854722491380,20618247242040,1.12,1.08,6
78,Coal Mine,Source of energy,Large,Industrial,352282083737060,30927370863060,1.12,1.08,6
79,Steel Mill,Industrial production,Large,Industrial,528423125605600,46391056294590,1.12,1.08,6
80,Clock Tower,Marking the passage of time,Large,Industrial,792634688408400,69586584441890,1.12,1.08,6
81,Bridge,Connecting distant shores,Huge,Industrial,1188952032612600,104379876662830,1.12,1.08,6
82,Power Plant,Electrifying the world,Large,Industrial,1783428048918900,156569814994250,1.12,1.08,6
83,Skyscraper,Reaching for the sky,Huge,Modern,2675142073378350,234854722491380,1.12,1.08,6
84,Airport,Gateway to the world,Huge,Modern,4012713110067520,352282083737060,1.12,1.08,6
85,Shopping Mall,Temple of commerce,Large,Modern,6019069665101280,528423125605600,1.12,1.08,6
86,Stadium,Arena of champions,Huge,Modern,9028604497651920,792634688408400,1.12,1.08,6
87,Theme Park,Land of wonder and joy,Huge,Modern,13542906746477900,1188952032612600,1.12,1.08,6
88,Nuclear Reactor,Atomic energy source,Large,Modern,20314360119716800,1783428048918900,1.12,1.08,7
89,Data Center,Hub of information,Large,Modern,30471540179575300,2675142073378350,1.12,1.08,7
90,Space Telescope,Peering into the cosmos,Large,Modern,45707310269362900,4012713110067520,1.12,1.08,7
91,Particle Accelerator,Unlocking atomic secrets,Huge,Modern,68560965404044400,6019069665101280,1.12,1.08,7
92,Quantum Computer,Computing the impossible,Medium,Futuristic,102841448106066600,9028604497651920,1.12,1.08,7
93,Fusion Reactor,Harnessing star power,Large,Futuristic,154262172159100000,13542906746477900,1.12,1.08,7
94,Space Elevator,Bridge to the stars,Colossal,Futuristic,231393258238650000,20314360119716800,1.12,1.08,7
95,Orbital Station,Home among the stars,Huge,Futuristic,347089887357975000,30471540179575300,1.12,1.08,7
96,Terraforming Station,Reshaping worlds,Huge,Futuristic,520634831036960000,45707310269362900,1.12,1.08,7
97,Moon Base,Lunar settlement,Huge,Futuristic,780952246555440000,68560965404044400,1.12,1.08,7
98,Asteroid Mining Rig,Harvesting space resources,Large,Futuristic,1171428369833160000,102841448106066600,1.12,1.08,7
99,Warp Gate,Bending space and time,Colossal,Futuristic,1757142554749740000,154262172159100000,1.12,1.08,7
100,Dyson Sphere,Capturing a star's energy,Colossal,Futuristic,2635713832124610000,231393258238650000,1.12,1.08,7
